Y,X1,X2,X3,X4,X5,X6,X7
999,0.199,0.652,0.585,0.495,0.729,0.865,0.83
999,0.193,0.631,0.605,0.485,0.725,0.833,0.804
999,0.188,0.623,0.598,0.472,0.721,0.793,0.795
999,0.182,0.643,0.555,0.46,0.717,0.843,0.799
999,0.176,0.629,0.521,0.448,0.714,0.825,0.802
999,0.178,0.66,0.547,0.435,0.717,0.84,0.828
999,0.181,0.621,0.536,0.427,0.72,0.839,0.819
999,0.183,0.62,0.492,0.428,0.723,0.852,0.82
999,0.185,0.651,0.543,0.43,0.721,0.835,0.83
0.25,0.187,0.63,0.551,0.431,0.715,0.833,0.813
999,0.19,0.623,0.551,0.433,0.71,0.847,0.816
999,0.192,0.657,0.532,0.435,0.705,0.853,0.819
999,0.194,0.62,0.491,0.436,0.7,0.797,0.795
999,0.196,0.611,0.503,0.438,0.723,0.841,0.835
999,0.199,0.637,0.455,0.439,0.715,0.804,0.817
999,0.201,0.635,0.456,0.441,0.705,0.819,0.796
999,0.203,0.625,0.442,0.443,0.731,0.817,0.802
999,0.206,0.633,0.452,0.444,0.728,0.811,0.798
999,0.208,0.638,0.436,0.446,0.718,0.809,0.783
0.244,0.21,0.64,0.399,0.447,0.707,0.793,0.786
999,0.212,0.627,0.32,0.449,0.696,0.786,0.771
999,0.22,0.648,0.312,0.45,0.726,0.808,0.815
999,0.228,0.651,0.327,0.452,0.733,0.852,0.827
999,0.235,0.656,0.354,0.471,0.74,0.793,0.804
999,0.243,0.654,0.372,0.491,0.748,0.82,0.836
999,0.251,0.637,0.429,0.511,0.763,0.828,0.82
999,0.258,0.652,0.472,0.531,0.76,0.843,0.813
999,0.266,0.658,0.518,0.539,0.732,0.81,0.788
999,0.24,0.641,0.466,0.539,0.71,0.787,0.768
0.308,0.193,0.653,0.478,0.539,0.709,0.791,0.77
999,0.169,0.615,0.426,0.539,0.711,0.826,0.791
999,0.172,0.663,0.512,0.539,0.755,0.887,0.839
999,0.174,0.653,0.566,0.524,0.793,0.893,0.839
999,0.177,0.665,0.628,0.505,0.775,0.918,0.895
999,0.179,0.64,0.665,0.487,0.771,0.879,0.862
999,0.182,0.639,0.625,0.468,0.759,0.876,0.843
999,0.184,0.636,0.62,0.449,0.736,0.857,0.835
999,0.187,0.625,0.582,0.431,0.695,0.831,0.803
999,0.189,0.606,0.536,0.412,0.695,0.82,0.809
0.283,0.192,0.633,0.46,0.393,0.702,0.825,0.808
999,0.194,0.645,0.404,0.407,0.705,0.845,0.823
999,0.197,0.64,0.432,0.422,0.737,0.884,0.85
999,0.199,0.657,0.456,0.438,0.73,0.862,0.835
999,0.202,0.639,0.492,0.453,0.724,0.839,0.83
999,0.204,0.627,0.517,0.468,0.715,0.824,0.802
999,0.207,0.633,0.495,0.483,0.73,0.787,0.791
999,0.208,0.635,0.506,0.483,0.714,0.817,0.787
999,0.206,0.643,0.493,0.483,0.709,0.837,0.801
999,0.204,0.635,0.465,0.483,0.709,0.839,0.824
0.284,0.202,0.633,0.514,0.483,0.708,0.84,0.819
999,0.2,0.618,0.468,0.483,0.707,0.829,0.795
999,0.198,0.646,0.489,0.483,0.707,0.819,0.78
999,0.196,0.625,0.469,0.482,0.707,0.808,0.769
999,0.194,0.643,0.381,0.482,0.711,0.837,0.782
999,0.192,0.624,0.324,0.482,0.717,0.805,0.806
999,0.19,0.633,0.359,0.489,0.726,0.824,0.809
999,0.188,0.632,0.322,0.498,0.741,0.847,0.839
999,0.186,0.661,0.382,0.507,0.728,0.841,0.834
999,0.184,0.615,0.322,0.516,0.695,0.799,0.789
0.282,0.182,0.64,0.315,0.525,0.748,0.814,0.8
999,0.18,0.66,0.328,0.533,0.733,0.828,0.832
999,0.178,0.634,0.348,0.542,0.717,0.809,0.772
999,0.176,0.655,0.343,0.551,0.709,0.797,0.758
999,0.174,0.619,0.318,0.56,0.725,0.801,0.777
999,0.171,0.659,0.374,0.569,0.721,0.807,0.779
999,0.169,0.617,0.349,0.578,0.72,0.794,0.757
999,0.168,0.651,0.352,0.587,0.699,0.77,0.748
999,0.168,0.626,0.263,0.596,0.705,0.769,0.728
999,0.168,0.663,0.316,0.607,0.732,0.803,0.782
0.276,0.168,0.645,0.291,0.619,0.736,0.794,0.778
999,0.168,0.652,0.373,0.631,0.754,0.839,0.828
999,0.168,0.668,0.417,0.644,0.727,0.805,0.818
999,0.168,0.613,0.447,0.628,0.734,0.796,0.775
999,0.168,0.635,0.478,0.611,0.728,0.779,0.792
999,0.168,0.647,0.448,0.594,0.71,0.786,0.791
999,0.168,0.645,0.457,0.578,0.705,0.793,0.763
999,0.168,0.613,0.405,0.561,0.699,0.803,0.751
999,0.168,0.631,0.396,0.544,0.68,0.804,0.788
999,0.168,0.627,0.341,0.541,0.742,0.836,0.803
0.261,0.168,0.65,0.312,0.544,0.727,0.833,0.822
999,0.167,0.626,0.296,0.548,0.743,0.852,0.837
999,0.165,0.655,0.402,0.552,0.781,0.881,0.874
999,0.164,0.668,0.5,0.556,0.765,0.88,0.857
999,0.165,0.645,0.546,0.518,0.735,0.801,0.784
999,0.166,0.653,0.514,0.479,0.696,0.779,0.756
999,0.167,0.625,0.411,0.471,0.681,0.767,0.742
999,0.168,0.62,0.308,0.48,0.698,0.833,0.793
999,0.177,0.629,0.266,0.49,0.711,0.83,0.833
999,0.19,0.659,0.289,0.499,0.707,0.853,0.826
0.283,0.204,0.642,0.307,0.508,0.703,0.831,0.783
999,0.218,0.69,0.21,0.61,0.716,0.809,0.784
999,0.236,0.672,0.355,0.715,0.807,0.892,0.868
999,0.255,0.681,0.497,0.801,0.801,0.9,0.9
999,0.266,0.689,0.596,0.769,0.794,0.852,0.835
999,0.255,0.68,0.693,0.736,0.781,0.824,0.791
999,0.244,0.697,0.747,0.704,0.761,0.789,0.777
999,0.233,0.689,0.747,0.672,0.766,0.809,0.782
999,0.223,0.68,0.749,0.639,0.774,0.827,0.796
999,0.226,0.658,0.749,0.63,0.799,0.817,0.792
0.357,0.233,0.627,0.744,0.633,0.792,0.797,0.776
999,0.24,0.632,0.751,0.637,0.791,0.804,0.8
999,0.247,0.627,0.74,0.641,0.798,0.782,0.791
999,0.255,0.641,0.705,0.645,0.805,0.794,0.784
999,0.262,0.638,0.725,0.649,0.812,0.794,0.759
999,0.269,0.65,0.717,0.652,0.819,0.8,0.755
999,0.276,0.653,0.717,0.667,0.826,0.79,0.79
999,0.302,0.653,0.743,0.693,0.848,0.848,0.855
999,0.381,0.642,0.756,0.719,0.919,0.897,0.879
999,0.461,0.686,0.753,0.781,0.946,0.968,0.966
0.281,0.54,0.623,0.759,0.853,0.983,1,1
999,0.603,0.588,0.757,0.95,1,0.968,0.96
999,0.56,0.567,0.759,0.976,0.932,0.833,0.84
999,0.518,0.639,0.751,0.907,0.913,0.793,0.806
999,0.476,0.61,0.756,0.826,0.862,0.781,0.737
999,0.434,0.629,0.739,0.673,0.832,0.72,0.697
999,0.394,0.648,0.745,0.52,0.815,0.68,0.678
999,0.356,0.615,0.757,0.367,0.796,0.662,0.637
999,0.318,0.661,0.733,0.213,0.748,0.63,0.593
999,0.279,0.628,0.665,0.199,0.753,0.645,0.622
0.12,0.252,0.626,0.552,0.188,0.755,0.651,0.654
999,0.247,0.617,0.515,0.214,0.744,0.716,0.705
999,0.243,0.655,0.458,0.249,0.734,0.704,0.696
999,0.239,0.608,0.414,0.285,0.73,0.687,0.716
999,0.235,0.635,0.387,0.32,0.733,0.71,0.75
999,0.23,0.664,0.37,0.355,0.739,0.695,0.708
999,0.226,0.621,0.336,0.39,0.745,0.792,0.797
999,0.242,0.645,0.345,0.425,0.759,0.798,0.816
999,0.268,0.661,0.375,0.46,0.788,0.815,0.832
999,0.295,0.671,0.499,0.483,0.773,0.775,0.806
0.129,0.311,0.68,0.544,0.48,0.759,0.752,0.769
999,0.302,0.664,0.613,0.476,0.753,0.739,0.763
999,0.292,0.683,0.661,0.473,0.755,0.749,0.757
999,0.283,0.667,0.689,0.469,0.758,0.702,0.727
999,0.274,0.669,0.708,0.466,0.763,0.724,0.735
999,0.265,0.695,0.746,0.463,0.768,0.741,0.752
999,0.256,0.68,0.758,0.459,0.772,0.749,0.748
999,0.247,0.698,0.752,0.456,0.778,0.763,0.747
999,0.238,0.673,0.748,0.453,0.793,0.764,0.745
999,0.228,0.661,0.753,0.397,0.762,0.712,0.708
0.21,0.214,0.71,0.747,0.281,0.726,0.663,0.682
999,0.17,0.622,0.746,0.166,0.702,0.658,0.661
999,0.152,0.641,0.504,0.249,0.632,0.626,0.628
999,0.193,0.625,0.205,0.234,0.623,0.604,0.622
999,0.234,0.658,0.00144,0.214,0.615,0.621,0.66
999,0.274,0.72,0,0.166,0.607,0.703,0.739
999,0.331,0.722,0.0757,0.214,0.742,0.995,0.958
999,0.346,0.722,0.303,0.304,0.803,0.986,0.995
999,0.325,0.718,0.486,0.279,0.808,0.94,0.95
999,0.305,0.725,0.612,0.254,0.8,0.849,0.877
0.231,0.285,0.706,0.698,0.228,0.79,0.831,0.817
999,0.264,0.7,0.73,0.203,0.78,0.82,0.811
999,0.244,0.682,0.72,0.198,0.77,0.81,0.771
999,0.239,0.664,0.725,0.203,0.763,0.832,0.794
999,0.244,0.669,0.713,0.209,0.766,0.86,0.834
999,0.248,0.67,0.718,0.215,0.769,0.857,0.833
999,0.253,0.644,0.701,0.221,0.772,0.841,0.802
999,0.253,0.665,0.736,0.227,0.767,0.84,0.811
999,0.254,0.643,0.704,0.225,0.734,0.813,0.779
999,0.254,0.673,0.667,0.22,0.736,0.798,0.764
0.242,0.255,0.65,0.668,0.216,0.733,0.821,0.807
999,0.255,0.662,0.651,0.212,0.725,0.824,0.806
999,0.256,0.679,0.673,0.255,0.734,0.814,0.787
999,0.256,0.66,0.667,0.31,0.744,0.808,0.771
999,0.257,0.613,0.692,0.315,0.753,0.902,0.881
999,0.254,0.664,0.705,0.308,0.759,0.886,0.848
999,0.25,0.636,0.76,0.453,0.755,0.823,0.809
999,0.246,0.672,0.74,0.418,0.723,0.765,0.746
999,0.242,0.644,0.627,0.382,0.675,0.722,0.693
999,0.238,0.597,0.509,0.33,0.684,0.739,0.721
0.236,0.24,0.614,0.425,0.254,0.692,0.772,0.74
999,0.244,0.647,0.359,0.27,0.701,0.801,0.793
999,0.248,0.627,0.348,0.287,0.709,0.808,0.806
999,0.253,0.625,0.345,0.303,0.717,0.797,0.798
999,0.257,0.643,0.367,0.32,0.726,0.789,0.764
999,0.262,0.646,0.343,0.336,0.717,0.758,0.762
999,0.268,0.632,0.33,0.338,0.701,0.735,0.726
999,0.276,0.626,0.216,0.339,0.691,0.664,0.681
999,0.285,0.628,0.167,0.341,0.687,0.691,0.703
999,0.294,0.638,0.123,0.342,0.688,0.694,0.687
0.313,0.303,0.69,0.134,0.343,0.744,0.887,0.834
999,0.317,0.676,0.346,0.448,0.852,0.995,0.982
999,0.33,0.676,0.52,0.483,0.832,0.931,0.92
999,0.323,0.671,0.666,0.436,0.812,0.832,0.818
999,0.291,0.668,0.75,0.394,0.768,0.73,0.72
999,0.259,0.653,0.744,0.363,0.735,0.699,0.67
999,0.238,0.632,0.722,0.332,0.739,0.701,0.668
999,0.242,0.632,0.67,0.314,0.744,0.745,0.696
999,0.245,0.639,0.623,0.332,0.749,0.754,0.711
999,0.249,0.64,0.597,0.351,0.754,0.798,0.736
0.38,0.253,0.647,0.63,0.37,0.758,0.804,0.762
999,0.257,0.635,0.654,0.388,0.762,0.762,0.72
999,0.254,0.654,0.643,0.392,0.765,0.738,0.722
999,0.251,0.653,0.668,0.388,0.762,0.742,0.689
999,0.248,0.643,0.651,0.383,0.756,0.74,0.682
999,0.245,0.64,0.671,0.378,0.753,0.727,0.709
999,0.242,0.617,0.647,0.373,0.753,0.711,0.698
999,0.239,0.648,0.656,0.369,0.752,0.75,0.707
999,0.237,0.638,0.628,0.364,0.752,0.737,0.704
999,0.237,0.63,0.628,0.359,0.751,0.74,0.725
0.3,0.237,0.661,0.649,0.355,0.75,0.746,0.706
999,0.237,0.643,0.619,0.35,0.75,0.737,0.706
999,0.237,0.628,0.637,0.345,0.747,0.745,0.706
999,0.237,0.659,0.663,0.236,0.741,0.716,0.683
999,0.237,0.639,0.641,0.225,0.717,0.676,0.653
999,0.237,0.64,0.59,0.244,0.716,0.691,0.645
999,0.237,0.624,0.581,0.263,0.715,0.69,0.638
999,0.237,0.635,0.536,0.283,0.714,0.706,0.686
999,0.237,0.645,0.531,0.302,0.712,0.755,0.71
999,0.237,0.655,0.576,0.321,0.71,0.749,0.714
0.262,0.237,0.63,0.546,0.34,0.709,0.712,0.679
999,0.237,0.64,0.581,0.359,0.707,0.704,0.683
999,0.237,0.639,0.558,0.379,0.704,0.662,0.654
999,0.237,0.623,0.508,0.386,0.698,0.687,0.65
999,0.237,0.639,0.459,0.391,0.701,0.714,0.672
999,0.237,0.632,0.446,0.396,0.705,0.691,0.652
999,0.237,0.629,0.423,0.4,0.709,0.679,0.686
999,0.273,0.636,0.435,0.405,0.715,0.699,0.683
999,0.261,0.662,0.393,0.41,0.72,0.721,0.679
999,0.234,0.637,0.452,0.414,0.726,0.73,0.691
0.244,0.235,0.651,0.487,0.419,0.732,0.741,0.711
999,0.244,0.662,0.549,0.424,0.737,0.737,0.714
999,0.252,0.637,0.588,0.428,0.743,0.723,0.69
999,0.258,0.633,0.613,0.433,0.747,0.717,0.684
999,0.26,0.61,0.611,0.417,0.72,0.69,0.637
999,0.263,0.635,0.573,0.378,0.722,0.716,0.674
999,0.265,0.647,0.567,0.338,0.724,0.737,0.703
999,0.268,0.656,0.579,0.299,0.738,0.792,0.706
999,0.266,0.655,0.617,0.307,0.768,0.813,0.76
999,0.261,0.661,0.683,0.345,0.797,0.786,0.747
0.231,0.256,0.671,0.755,0.383,0.758,0.759,0.696
999,0.25,0.634,0.705,0.421,0.716,0.695,0.645
999,0.245,0.632,0.668,0.458,0.703,0.662,0.642
999,0.24,0.619,0.533,0.496,0.685,0.659,0.609
999,0.236,0.615,0.432,0.538,0.714,0.707,0.672
999,0.234,0.64,0.453,0.584,0.711,0.712,0.695
999,0.233,0.636,0.387,0.63,0.708,0.707,0.67
999,0.231,0.634,0.442,0.676,0.745,0.739,0.701
999,0.23,0.665,0.455,0.721,0.73,0.726,0.683
999,0.228,0.644,0.483,0.752,0.737,0.685,0.683
0.194,0.227,0.643,0.524,0.749,0.734,0.671,0.655
999,0.225,0.65,0.527,0.745,0.719,0.669,0.633
999,0.224,0.639,0.501,0.741,0.725,0.681,0.639
999,0.222,0.664,0.545,0.738,0.731,0.706,0.664
999,0.22,0.652,0.574,0.734,0.737,0.714,0.679
999,0.219,0.64,0.626,0.73,0.744,0.753,0.713
999,0.217,0.647,0.649,0.726,0.75,0.783,0.751
999,0.216,0.661,0.7,0.723,0.749,0.727,0.705
999,0.214,0.65,0.699,0.71,0.747,0.71,0.644
999,0.213,0.653,0.696,0.641,0.742,0.707,0.629
0.23,0.206,0.62,0.674,0.545,0.737,0.669,0.629
999,0.198,0.643,0.619,0.488,0.76,0.768,0.696
999,0.191,0.66,0.629,0.492,0.756,0.803,0.75
999,0.183,0.663,0.647,0.497,0.753,0.726,0.709
999,0.175,0.63,0.614,0.501,0.749,0.731,0.672
999,0.168,0.619,0.592,0.506,0.724,0.661,0.628
999,0.16,0.632,0.474,0.51,0.684,0.634,0.606
999,0.152,0.633,0.324,0.538,0.68,0.667,0.612
999,0.2,0.659,0.287,0.627,0.757,0.86,0.801
999,0.25,0.661,0.4,0.754,0.848,0.995,0.926
0.197,0.299,0.691,0.532,0.839,0.867,0.999,0.942
999,0.318,0.654,0.676,0.889,0.862,0.919,0.869
999,0.301,0.646,0.757,0.867,0.834,0.796,0.756
999,0.284,0.612,0.751,0.826,0.814,0.712,0.684
999,0.268,0.621,0.698,0.724,0.795,0.689,0.665
999,0.251,0.646,0.703,0.62,0.798,0.704,0.676
999,0.234,0.634,0.662,0.516,0.809,0.729,0.699
999,0.218,0.632,0.648,0.491,0.819,0.794,0.75
999,0.208,0.651,0.662,0.513,0.83,0.84,0.802
999,0.207,0.648,0.658,0.535,0.841,0.847,0.814
0.158,0.205,0.635,0.75,0.557,0.837,0.844,0.803
999,0.204,0.648,0.703,0.579,0.827,0.815,0.759
999,0.203,0.652,0.687,0.601,0.818,0.798,0.74
999,0.202,0.653,0.68,0.623,0.808,0.789,0.707
999,0.201,0.617,0.656,0.643,0.806,0.774,0.703
999,0.211,0.635,0.638,0.662,0.805,0.789,0.729
999,0.225,0.647,0.626,0.681,0.804,0.797,0.73
999,0.238,0.649,0.613,0.7,0.809,0.808,0.769
999,0.252,0.688,0.634,0.718,0.818,0.839,0.803
999,0.266,0.693,0.674,0.737,0.826,0.865,0.805
0.128,0.279,0.691,0.732,0.756,0.831,0.828,0.772
999,0.293,0.682,0.746,0.754,0.829,0.823,0.776
999,0.261,0.668,0.748,0.741,0.827,0.798,0.731
999,0.254,0.66,0.743,0.728,0.825,0.755,0.723
999,0.248,0.672,0.723,0.719,0.823,0.797,0.729
999,0.242,0.678,0.719,0.71,0.821,0.781,0.73
999,0.235,0.659,0.696,0.701,0.819,0.826,0.742
999,0.229,0.666,0.686,0.692,0.819,0.824,0.767
999,0.222,0.673,0.709,0.679,0.819,0.789,0.759
999,0.216,0.694,0.724,0.656,0.814,0.797,0.745
0.156,0.21,0.652,0.687,0.633,0.805,0.792,0.733
999,0.211,0.677,0.656,0.611,0.809,0.829,0.776
999,0.213,0.691,0.604,0.588,0.816,0.827,0.805
999,0.216,0.695,0.646,0.566,0.823,0.848,0.797
999,0.219,0.678,0.701,0.543,0.83,0.909,0.845
999,0.221,0.686,0.752,0.545,0.836,0.906,0.835
999,0.224,0.684,0.75,0.553,0.835,0.875,0.833
999,0.227,0.677,0.748,0.561,0.834,0.888,0.836
999,0.229,0.665,0.753,0.57,0.832,0.884,0.81
999,0.232,0.676,0.744,0.578,0.831,0.851,0.798
0.184,0.198,0.642,0.731,0.586,0.823,0.822,0.77
999,0.171,0.674,0.665,0.594,0.802,0.759,0.761
999,0.183,0.665,0.622,0.602,0.805,0.808,0.772
999,0.195,0.653,0.582,0.61,0.808,0.818,0.77
999,0.206,0.664,0.558,0.619,0.811,0.868,0.805
999,0.218,0.675,0.559,0.631,0.814,0.852,0.814
999,0.23,0.688,0.577,0.649,0.818,0.864,0.823
999,0.241,0.656,0.597,0.667,0.821,0.869,0.796
999,0.253,0.676,0.625,0.685,0.824,0.861,0.837
999,0.265,0.698,0.676,0.703,0.827,0.861,0.799
0.184,0.268,0.677,0.683,0.702,0.83,0.853,0.798
999,0.267,0.67,0.717,0.681,0.831,0.825,0.772
999,0.266,0.681,0.724,0.659,0.824,0.812,0.76
999,0.265,0.672,0.716,0.637,0.817,0.797,0.753
999,0.263,0.664,0.694,0.616,0.81,0.784,0.747
999,0.262,0.663,0.678,0.594,0.803,0.751,0.732
999,0.261,0.658,0.648,0.573,0.796,0.765,0.733
999,0.26,0.666,0.616,0.551,0.789,0.767,0.735
999,0.259,0.671,0.605,0.545,0.798,0.793,0.74
999,0.257,0.682,0.596,0.577,0.809,0.801,0.764
0.133,0.255,0.684,0.606,0.609,0.82,0.827,0.785
999,0.253,0.687,0.638,0.641,0.826,0.843,0.804
999,0.25,0.693,0.684,0.673,0.829,0.852,0.773
999,0.247,0.672,0.694,0.705,0.831,0.82,0.776
999,0.245,0.685,0.745,0.724,0.822,0.814,0.778
999,0.242,0.686,0.727,0.712,0.813,0.776,0.721
999,0.239,0.663,0.701,0.699,0.806,0.778,0.735
999,0.237,0.667,0.734,0.687,0.8,0.778,0.706
999,0.234,0.651,0.708,0.675,0.793,0.755,0.71
999,0.231,0.697,0.72,0.663,0.786,0.75,0.696
0.111,0.226,0.673,0.687,0.65,0.777,0.682,0.626
999,0.222,0.649,0.646,0.638,0.76,0.74,0.668
999,0.218,0.657,0.657,0.625,0.784,0.769,0.708
999,0.214,0.672,0.662,0.613,0.779,0.747,0.695
999,0.209,0.659,0.659,0.6,0.768,0.716,0.66
999,0.208,0.68,0.649,0.59,0.758,0.712,0.675
999,0.209,0.689,0.634,0.595,0.758,0.782,0.703
999,0.216,0.641,0.657,0.6,0.759,0.786,0.738
999,0.222,0.664,0.631,0.577,0.759,0.737,0.698
999,0.228,0.684,0.611,0.429,0.759,0.721,0.655
0.0757,0.234,0.681,0.582,0.398,0.76,0.717,0.661
999,0.236,0.642,0.576,0.367,0.76,0.765,0.704
999,0.235,0.683,0.586,0.365,0.761,0.768,0.702
999,0.234,0.688,0.595,0.397,0.761,0.754,0.699
999,0.233,0.676,0.609,0.482,0.762,0.744,0.674
999,0.232,0.685,0.642,0.499,0.762,0.755,0.674
999,0.231,0.666,0.674,0.516,0.762,0.689,0.679
999,0.23,0.667,0.681,0.534,0.769,0.729,0.683
999,0.229,0.693,0.733,0.551,0.768,0.727,0.687
999,0.228,0.694,0.745,0.553,0.764,0.716,0.67
0.123,0.227,0.692,0.748,0.555,0.755,0.721,0.644
999,0.226,0.646,0.754,0.556,0.741,0.671,0.622
999,0.225,0.668,0.738,0.558,0.726,0.686,0.606
999,0.224,0.688,0.748,0.559,0.712,0.697,0.617
999,0.223,0.676,0.742,0.561,0.696,0.698,0.623
999,0.222,0.664,0.733,0.562,0.681,0.667,0.629
999,0.221,0.674,0.72,0.563,0.666,0.664,0.58
999,0.22,0.666,0.659,0.565,0.66,0.676,0.593
999,0.22,0.669,0.675,0.566,0.664,0.685,0.63
999,0.219,0.686,0.653,0.568,0.668,0.675,0.646
0.112,0.218,0.685,0.673,0.569,0.672,0.71,0.657
999,0.217,0.694,0.673,0.515,0.675,0.703,0.67
999,0.216,0.69,0.702,0.458,0.678,0.721,0.667
999,0.215,0.677,0.748,0.451,0.681,0.757,0.677
999,0.214,0.695,0.74,0.457,0.685,0.782,0.704
999,0.214,0.681,0.749,0.463,0.731,0.778,0.706
999,0.213,0.648,0.75,0.469,0.719,0.733,0.665
999,0.212,0.678,0.748,0.477,0.707,0.716,0.674
999,0.211,0.66,0.763,0.495,0.695,0.713,0.663
999,0.21,0.655,0.759,0.512,0.685,0.685,0.628
0.15,0.209,0.661,0.74,0.53,0.675,0.696,0.626
999,0.209,0.664,0.72,0.548,0.671,0.706,0.673
999,0.175,0.691,0.674,0.565,0.67,0.718,0.669
999,0.208,0.696,0.684,0.583,0.668,0.709,0.661
999,0.206,0.658,0.658,0.592,0.667,0.698,0.665
999,0.205,0.645,0.621,0.598,0.666,0.719,0.669
999,0.203,0.655,0.612,0.605,0.665,0.7,0.66
999,0.202,0.667,0.555,0.611,0.663,0.706,0.642
999,0.2,0.648,0.509,0.617,0.662,0.689,0.637
999,0.206,0.658,0.504,0.624,0.663,0.699,0.679
0.14,0.212,0.657,0.474,0.628,0.669,0.701,0.629
999,0.219,0.666,0.438,0.632,0.675,0.668,0.629
999,0.225,0.662,0.419,0.636,0.681,0.632,0.629
999,0.231,0.677,0.476,0.64,0.687,0.661,0.629
999,0.237,0.709,0.553,0.644,0.697,0.699,0.629
999,0.243,0.731,0.644,0.648,0.711,0.712,0.638
999,0.249,0.751,0.757,0.652,0.724,0.733,0.669
999,0.255,0.75,0.805,0.656,0.738,0.727,0.668
999,0.262,0.67,0.801,0.66,0.752,0.682,0.638
999,0.256,0.643,0.807,0.664,0.737,0.608,0.595
0.154,0.237,0.67,0.797,0.668,0.719,0.636,0.572
999,0.217,0.686,0.773,0.672,0.7,0.596,0.555
999,0.2,0.696,0.783,0.676,0.686,0.61,0.553
999,0.201,0.685,0.78,0.68,0.689,0.643,0.604
999,0.202,0.666,0.802,0.697,0.693,0.66,0.646
999,0.203,0.658,0.806,0.746,0.696,0.699,0.652
999,0.204,0.636,0.809,0.74,0.7,0.699,0.662
999,0.205,0.65,0.809,0.603,0.704,0.67,0.637
999,0.206,0.665,0.812,0.466,0.686,0.618,0.587
999,0.207,0.689,0.768,0.462,0.661,0.608,0.582
0.106,0.208,0.681,0.77,0.462,0.647,0.646,0.593
999,0.209,0.677,0.711,0.463,0.672,0.713,0.637
999,0.211,0.676,0.761,0.463,0.684,0.686,0.666
999,0.213,0.672,0.776,0.463,0.691,0.708,0.652
999,0.214,0.668,0.717,0.464,0.698,0.738,0.67
999,0.216,0.657,0.753,0.464,0.708,0.733,0.67
999,0.217,0.675,0.8,0.464,0.713,0.72,0.664
999,0.219,0.685,0.805,0.465,0.686,0.669,0.599
999,0.22,0.672,0.789,0.465,0.664,0.623,0.558
999,0.222,0.645,0.69,0.465,0.65,0.605,0.547
0.135,0.223,0.675,0.74,0.466,0.661,0.663,0.611
999,0.223,0.694,0.688,0.466,0.666,0.706,0.643
999,0.218,0.683,0.743,0.487,0.683,0.69,0.67
999,0.212,0.681,0.761,0.512,0.703,0.685,0.628
999,0.214,0.637,0.699,0.538,0.673,0.6,0.555
999,0.233,0.624,0.614,0.563,0.65,0.645,0.588
999,0.198,0.652,0.585,0.577,0.651,0.663,0.621
999,0.207,0.653,0.501,0.576,0.653,0.68,0.633
999,0.216,0.64,0.454,0.576,0.656,0.695,0.662
999,0.225,0.654,0.396,0.575,0.627,0.661,0.647
0.142,0.235,0.63,0.336,0.574,0.659,0.652,0.633
999,0.244,0.64,0.237,0.574,0.661,0.669,0.631
999,0.253,0.649,0.238,0.573,0.661,0.672,0.642
999,0.263,0.657,0.189,0.573,0.659,0.661,0.657
999,0.272,0.672,0.167,0.572,0.657,0.672,0.651
999,0.281,0.668,0.252,0.572,0.648,0.659,0.639
999,0.29,0.704,0.251,0.571,0.63,0.69,0.654
999,0.3,0.667,0.265,0.571,0.682,0.719,0.67
999,0.309,0.669,0.307,0.57,0.692,0.748,0.728
999,0.299,0.643,0.356,0.569,0.694,0.756,0.727
0.255,0.288,0.671,0.381,0.569,0.696,0.679,0.68
999,0.277,0.686,0.425,0.568,0.69,0.657,0.624
999,0.266,0.671,0.4,0.568,0.673,0.621,0.595
999,0.255,0.651,0.331,0.567,0.656,0.65,0.597
999,0.244,0.687,0.382,0.567,0.667,0.662,0.653
999,0.234,0.649,0.277,0.566,0.651,0.615,0.622
999,0.223,0.674,0.264,0.566,0.664,0.649,0.629
999,0.233,0.681,0.268,0.565,0.632,0.672,0.636
999,0.249,0.821,0.338,0.565,0.638,0.653,0.635
999,0.276,0.911,0.349,0.568,0.565,0.639,0.644
0.286,0.316,0.606,0.391,0.598,0.725,0.708,0.718
999,0.316,0.61,0.465,0.661,0.732,0.753,0.772
999,0.269,0.649,0.51,0.692,0.633,0.619,0.639
999,0.222,0.702,0.493,0.694,0.57,0.545,0.539
999,0.176,0.698,0.496,0.696,0.52,0.537,0.493
999,0.129,0.696,0.505,0.698,0.478,0.455,0.451
999,0.146,0.722,0.498,0.7,0.429,0.5,0.464
999,0.164,0.674,0.391,0.7,0.424,0.515,0.491
999,0.216,0.682,0.263,0.694,0.559,0.731,0.676
999,0.307,0.695,0.401,0.688,0.723,0.909,0.878
0.332,0.298,0.718,0.47,0.682,0.725,0.847,0.844
999,0.288,0.701,0.601,0.676,0.727,0.819,0.775
999,0.278,0.74,0.694,0.67,0.721,0.767,0.758
999,0.269,0.732,0.783,0.664,0.712,0.765,0.718
999,0.259,0.733,0.792,0.658,0.702,0.739,0.695
999,0.25,0.671,0.797,0.652,0.682,0.671,0.65
999,0.24,0.657,0.748,0.65,0.655,0.659,0.62
999,0.23,0.656,0.692,0.658,0.662,0.69,0.64
999,0.221,0.646,0.63,0.666,0.675,0.72,0.668
999,0.211,0.691,0.664,0.532,0.676,0.735,0.717
0.354,0.201,0.687,0.672,0.47,0.675,0.737,0.708
999,0.265,0.672,0.64,0.469,0.682,0.729,0.708
999,0.262,0.692,0.711,0.468,0.701,0.759,0.74
